athlete.sex,average_speed,distance,type
F,2.7939999999999996,1639.8,Run
F,5.724,20504.5,Ride
M,7.657,6309.5,Ride
M,8.604,42282.5,Ride
F,3.0669999999999997,9637.2,Run
F,3.2260000000000004,1848.5,Run
M,2.884,5869.3,Run
F,2.464,6446.9,Run
M,6.382000000000001,23810.8,Ride
M,6.705,96335.4,Ride
M,6.525,12235.0,Ride
F,1.598,2636.2,Run
M,8.847000000000001,13456.9,Ride
M,0.0,0.0,Ride
F,3.235,3212.1,Ride
M,9.201,32232.2,Ride
F,1.5590000000000002,6187.4,Run
M,9.285,23389.3,Ride
F,2.721,1118.5,Run
M,3.023,10071.1,Run
M,3.798,11683.2,Run
